barcode,itemcode,description,onhand_qty
6849141691164,4972603375602,Cristine,1000
6242269706491,9225408491073,Thalia,15
5320395706116,2432448519044,Jaclyn,740
6774840833513,542800565274,Adele,983
8533557804552,1016192714844,Ira,258
1893154407463,6567340909993,Janis,406
7921192445402,8420162320645,Darci,344
4514741171542,7957326098431,Eve,786
2567893047341,90691498797,Carlie,126
8257901500527,7272125824340,Harrietta,994
5809886488478,6991302780950,Kathy,113
7055579585640,5356892503177,Nita,859
7666005927276,8860682235927,Jan,839
2972334486625,8504561497871,Ada,435
6507374984375,9238400632830,Leia,531
7805584478437,5405046689563,Vanessa,881
9826615970069,9316649382860,Meriel,854
