location,barcode,itemcode,scan_qty,scan_date,inspector,user_id
Isle of Man,2853664244953,9586368738625,769,29-07-21,Marinna,1
Pitcairn,5668476164794,8897847852119,837,28-08-21,Madalyn,1
"Virgin Islands, U.S.",2532043814762,5927145697815,484,12-10-21,Ingrid,1
Israel,5565335973888,9907823931585,870,09-05-21,Gui,1
Saint Kitts and Nevis,1148348680365,6155196734372,823,09-06-21,Drucie,1
Costa Rica,6928296745002,9969275561626,933,02-12-21,Dede,1
Cuba,9739596126625,3628987818666,957,04-01-21,Ricky,1
Australia,130866974318,1757340588170,255,13-09-21,Ayn,1
Oman,8392693271420,2165024641089,678,04-07-21,Zia,1
Mauritius,9524646520869,5973669082367,978,04-07-21,Hildegaard,1
Albania,8943313642099,3494388755961,154,28-04-21,Lily,1
Cayman Islands,89477368233,3481333785037,383,25-08-21,Charmaine,1
South Georgia and the South Sandwich Islands,3032177167928,3036333119031,710,27-12-21,Rhea,1
Qatar,2735284942448,1301520895733,720,16-07-21,Modestia,1
Djibouti,3784571991935,5276531995620,732,18-03-21,Helena,1
Heard Island and Mcdonald Islands,9284325713014,3989453205166,759,14-01-21,Aubrie,1
Hungary,2157166441337,1295923523401,438,28-01-21,Brianna,1
Gabon,2679451604113,5915483843508,318,25-03-21,Goldie,1
"Palestinian Territory, Occupied",854263360343,3070325753845,694,04-04-21,Lulita,1
Tunisia,2231793291789,2025489719464,808,07-06-21,Mureil,1
Grenada,781055705494,7102597951390,3,29-05-21,Micheline,1
Equatorial Guinea,7358205569939,412212552305,451,15-10-21,Ebonee,1
Belgium,4644360802947,8581372180953,170,22-05-21,Nickie,1
Ireland,1568728128754,2620993883211,709,06-03-21,Darci,1
Estonia,8918133516153,9311540488433,658,14-08-21,Carmencita,1
"Taiwan, Province of China",6274851970094,1559586943971,89,30-03-21,Hope,1
Colombia,3820806933076,9070521275930,602,19-03-21,Beth,1
"Moldova, Republic of",2060157372798,717652672646,352,06-05-21,Jordan,1
Croatia,3203863648929,2657944185398,844,01-08-21,Jemie,1
Jersey,2691593363094,9608847824571,837,25-03-21,Chandra,1
"Congo, The Democratic Republic of the",1902963855052,5433234641182,71,13-01-21,Adore,1
AndorrA,53967400260,8420016546687,52,21-05-21,Clementine,1
Morocco,6910775915710,8093905318706,993,18-07-21,Susan,1
Iceland,5095204854018,9441220886254,335,19-12-21,Wendi,1
Netherlands,8095373106006,9363753212304,143,02-06-21,Penelopa,1
Poland,4675608688917,7941910081525,15,30-01-21,Fawne,1
Sweden,258526882116,6619756765053,142,02-09-21,Daune,1
South Georgia and the South Sandwich Islands,8888293328376,8356507880953,420,18-07-21,Jessamyn,1
Nauru,2060657023393,8076069829410,416,26-04-21,Georgina,1
Japan,3007951073353,5898860289349,51,27-01-21,Marcy,1
India,1609866728257,8005846217009,919,21-01-21,Priscilla,1
Puerto Rico,235384047574,1687743164284,548,31-07-21,Gerianna,1
Qatar,5097487882195,6557317521207,362,12-11-21,Livvyy,1
Bahamas,1843511403727,3394816406189,427,28-11-21,Rhoda,1
Wallis and Futuna,5237091197084,9953088174583,998,04-06-21,Liana,1
"Congo, The Democratic Republic of the",6988551199343,27455720420,624,23-07-21,Dari,1
Uganda,6010138602185,3518326500324,408,16-11-21,Heida,1
Falkland Islands (Malvinas),5352746268192,3224679914151,695,27-08-21,Corina,1
Uzbekistan,3818015880786,9294319717387,761,16-02-21,Riannon,1
Brunei Darussalam,4093610624837,5354515031323,113,11-01-21,Malina,1
Malawi,46867008312,8408289387847,478,29-05-21,Courtnay,1
Martinique,9227923990670,3775733841854,525,30-11-21,Linzy,1
Italy,1426806759776,5738830298929,70,06-03-21,Lucy,1
Tajikistan,5981885201277,3688131752936,887,08-12-21,Maud,1
Cuba,6453169458061,9962240904949,500,12-12-21,Flory,1
Tajikistan,8283842264890,4530997835194,876,15-07-21,Teddie,1
Switzerland,6607717133787,7306850918399,487,09-01-21,Tamqrah,1
Niue,5445509297080,8538695542496,259,30-12-21,Chrystel,1
Norfolk Island,2044372993291,3123168731284,910,21-03-21,Flory,1
Cyprus,1242089156260,9527059605796,196,22-10-21,Sara-Ann,1
Pakistan,7869022088943,4975630158888,749,20-01-21,Hollie,1
Eritrea,5019517736552,7687978750879,848,20-11-21,Talya,1
French Southern Territories,2544449717086,3912326645726,458,17-12-21,Zondra,1
Antarctica,3516902515458,5586207937598,172,13-01-21,Teriann,1
Lebanon,6648538039054,7344112197086,607,08-12-21,Priscilla,1
Pakistan,9882417823650,3035076989675,713,06-04-21,Annaliese,1
Georgia,5050262099516,7070431000814,977,20-02-21,Odessa,1
Mauritania,5424925707576,4658986834144,759,20-11-21,Ebonee,1
"Palestinian Territory, Occupied",4651038020433,8338300075695,36,03-06-21,Lusa,1
Gibraltar,4908517359946,3433359247664,487,03-05-21,Kristan,1
Ghana,7606655366054,5178015307361,208,12-04-21,Kore,1
Holy See (Vatican City State),3845307856769,5269432668020,316,11-02-21,Genevra,1
Benin,960288102331,3298290167791,991,11-01-21,Orelia,1
Maldives,5287800113818,2783433610000,874,11-03-21,Riannon,1
Sao Tome and Principe,4923342955064,1708175628100,261,21-11-21,Frank,1
Jersey,3597331671902,578264176409,258,31-07-21,Winifred,1
Canada,5199271129029,3468267867477,991,13-09-21,Krystle,1
Falkland Islands (Malvinas),5080521061645,5726594144016,912,10-08-21,Sabina,1
Panama,261468011013,8566633966814,665,11-05-21,Tera,1
Cook Islands,7201030575911,2713860016190,223,14-02-21,Pollyanna,1
Fiji,8269738370831,3623310049024,956,08-02-21,Diena,1
Bolivia,2676841892638,3811732798173,171,16-12-21,Vonny,1
Turkey,5978354689502,7618842958205,844,21-03-21,Paulita,1
Libyan Arab Jamahiriya,9135454424933,411410787781,779,16-06-21,Elyssa,1
Equatorial Guinea,7361850953356,7072028276521,275,07-04-21,Carlie,1
"Virgin Islands, British",9467593441940,9839901853951,341,31-05-21,Ilse,1
Togo,9476228696920,9530107837776,294,26-03-21,Fidelia,1
Barbados,9060360103407,7552967308517,79,17-10-21,Carolina,1
Azerbaijan,3355067584925,5727627089098,897,23-12-21,Hyacinthe,1
Saint Kitts and Nevis,2773410412396,4134497560326,551,21-10-21,Catrina,1
Portugal,7046434559003,1145740822711,473,23-01-21,Roz,1
Israel,6866172782615,2712934738477,354,14-09-21,Melodie,1
Turkey,9856743080791,371005668829,812,13-05-21,Roseline,1
Dominica,1756745002909,8926151952052,20,10-12-21,Blinni,1
Mexico,5382463395615,6426396034775,298,18-05-21,Gusty,1
Sweden,6009445752504,9723442470424,925,31-03-21,Mildrid,1
Tokelau,9704883098217,6692399636436,335,25-05-21,Meg,1
Belarus,7424675704002,4616856415365,334,30-08-21,Elka,1
RWANDA,277282264229,102480329398,980,19-07-21,Layla,1
Switzerland,828603596898,5171119336414,188,17-07-21,Orsola,1
Portugal,4004086454942,381860539379,168,25-12-21,Jessy,1
Netherlands,1517753074292,5510556747292,463,20-08-21,Olwen,1
Cuba,9628519334237,3470957968597,901,15-10-21,Lulita,1
"Iran, Islamic Republic Of",5041614316900,1083146290009,400,15-05-21,Nessie,1
Åland Islands,8433564848461,561977439520,170,11-01-21,Elie,1
South Georgia and the South Sandwich Islands,946548981858,9476191096090,523,26-01-21,Selma,1
Cambodia,6814903382893,596169863951,170,08-06-21,Maridel,1
Vanuatu,2157648292240,6986516043912,222,09-01-21,Pearline,1
Colombia,853433086044,3010707392149,899,20-01-21,Bobinette,1
Gabon,9555277197712,797540774725,588,31-10-21,Brietta,1
Denmark,4277370170197,2284749049635,550,17-03-21,Ashlee,1
Saint Lucia,8730737391911,1834075690692,360,12-09-21,Dolli,1
Trinidad and Tobago,7298818367461,7043106451362,409,20-09-21,Kristan,1
Chad,7745816530225,4096410887198,673,21-01-21,Adelle,1
Grenada,44940365143,1587502287604,810,24-03-21,Gerrie,1
"Iran, Islamic Republic Of",4197550059194,915162674567,814,09-10-21,Kylynn,1
Ghana,8918421191872,932225763513,399,31-12-21,Rochette,1
"Virgin Islands, U.S.",4964606504160,9235657949739,832,16-10-21,Romona,1
Austria,2425891052667,6552170021870,176,31-01-21,Mellicent,1
Latvia,5343327929452,9550706158652,269,14-10-21,Joceline,1
Lithuania,9238755693292,6294693690687,531,18-11-21,Feliza,1
Chad,537347404795,160625155156,657,31-07-21,Sabina,1
Bolivia,5657347941644,8269180503840,284,21-12-21,Kristan,1
Uruguay,4256792382873,3510639402024,297,29-08-21,Renae,1
Oman,7336705926359,3945266542550,342,19-04-21,Marnia,1
Puerto Rico,8077450847417,8384291687643,163,11-12-21,Romona,1
